transaction_id,transaction_datetime,customer_id,customer_full_name,customer_age,customer_country,customer_loyalty_tier,customer_account_age_days,product_category,product_subcategory,quantity_purchased,unit_price_usd,gross_amount_usd,loyalty_discount_pct,promo_discount_pct,total_discount_pct,discount_amount_usd,net_amount_before_tax_usd,tax_rate,tax_amount_usd,net_amount_after_tax_usd,shipping_fee_usd,total_transaction_amount_usd,payment_method,device_type,days_since_last_purchase,is_fraudulent,is_returned,is_churned_customer
TXN0000011,2024-02-20 11:27:28,CUST01199,Wei Taylor,30,United States,Bronze,2591,Electronics,Headphones,1,401.87,401.87,0.0,0.05,0.05,20.09,381.78,0.12,45.81,427.59,0.0,427.59,Google Pay,Desktop,202,0,0,1
TXN0000012,2024-05-05 09:16:02,CUST01392,Michael Thompson,58,United States,Bronze,2825,Sports,Gym Equipment,3,67.79,203.37,0.0,0.0,0.0,0.0,203.37,0.071,14.44,217.81,0.0,217.81,Google Pay,Tablet,330,0,0,1
TXN0000013,2024-07-11 05:02:40,CUST00610,Susan Kim,75,Australia,Bronze,2592,Electronics,Smart Watch,3,1303.66,3910.98,0.0,0.15,0.15,586.65,3324.33,0.097,322.46,3646.79,0.0,3646.79,Debit Card,Desktop,83,0,0,0
TXN0000014,2024-05-13 04:03:19,CUST01048,Aisha Rodriguez,52,India,Bronze,3525,Clothing,Sneakers,2,132.04,264.08,0.0,0.0,0.0,0.0,264.08,0.083,21.92,286.0,0.0,286.0,PayPal,Desktop,323,0,0,1
TXN0000015,2024-08-19 05:14:17,CUST00666,John Miller,26,France,Silver,666,Groceries,Fresh Produce,2,37.25,74.5,0.05,0.0,0.05,3.73,70.77,0.058,4.1,74.87,0.0,74.87,Credit Card,Mobile,352,0,0,0
TXN0000016,2023-06-04 07:21:36,CUST00616,Susan Kumar,37,United States,Gold,3114,Books,Self-Help,2,40.87,81.74,0.1,0.0,0.1,8.17,73.57,0.119,8.75,82.32,0.0,82.32,Apple Pay,Desktop,189,0,0,0
TXN0000017,2023-07-23 07:59:30,CUST00273,Priya Patel,19,United States,Silver,1570,Beauty,Fragrance,1,7.02,7.02,0.05,0.0,0.05,0.35,6.67,0.111,0.74,7.41,5.36,12.77,Credit Card,Mobile,220,0,0,0
TXN0000018,2024-12-22 00:29:03,CUST00901,Sofia Kim,37,Australia,Bronze,1822,Groceries,Dairy,1,86.3,86.3,0.0,0.0,0.0,0.0,86.3,0.051,4.4,90.7,0.0,90.7,Debit Card,Desktop,345,0,0,1
TXN0000019,2024-10-27 03:17:32,CUST00742,Thomas Lee,44,United States,Bronze,2350,Home & Garden,Cleaning Supplies,3,156.47,469.41,0.0,0.1,0.1,46.94,422.47,0.079,33.38,455.85,0.0,455.85,Debit Card,Mobile,347,0,0,1
TXN0000020,2024-03-28 18:06:03,CUST00285,Ibrahim Anderson,54,Canada,Bronze,2652,Groceries,Frozen Food,1,71.73,71.73,0.0,0.2,0.2,14.35,57.38,0.074,4.25,61.63,0.0,61.63,Debit Card,Mobile,235,0,0,1
TXN0000021,2024-04-08 20:32:21,CUST00129,Joseph Nguyen,34,France,Bronze,2517,Toys,Educational,5,218.49,1092.45,0.0,0.0,0.0,0.0,1092.45,0.071,77.56,1170.01,0.0,1170.01,Debit Card,Mobile,171,0,0,0
TXN0000022,2023-07-17 00:30:25,CUST01397,Thomas Gonzalez,53,Canada,Bronze,570,Toys,Doll,4,249.19,996.76,0.0,0.2,0.2,199.35,797.41,0.11,87.72,885.13,0.0,885.13,PayPal,Mobile,196,0,0,1
TXN0000023,2023-09-21 10:42:45,CUST00454,Mohammed Moore,69,Australia,Bronze,1043,Beauty,Men Grooming,4,23.3,93.2,0.0,0.0,0.0,0.0,93.2,0.068,6.34,99.54,0.0,99.54,Credit Card,Mobile,272,0,0,1
TXN0000024,2023-12-01 01:23:04,CUST00650,David Wilson,70,United States,Bronze,2086,Sports,Yoga Mat,5,198.25,991.25,0.0,0.0,0.0,0.0,991.25,0.147,145.71,1136.96,0.0,1136.96,Credit Card,Mobile,135,0,0,0
TXN0000025,2024-12-17 19:13:23,CUST00920,Sarah Moore,24,United States,Silver,3477,Sports,Sportswear,1,269.92,269.92,0.05,0.05,0.1,26.99,242.93,0.099,24.05,266.98,0.0,266.98,Bank Transfer,Desktop,77,0,0,0
TXN0000026,2024-07-04 17:15:40,CUST00082,Susan Taylor,70,France,Bronze,126,Groceries,Fresh Produce,1,43.37,43.37,0.0,0.0,0.0,0.0,43.37,0.062,2.69,46.06,9.36,55.42,Debit Card,Mobile,235,0,0,1
TXN0000027,2024-05-30 01:46:56,CUST00740,John Jackson,53,United States,Bronze,1161,Groceries,Dairy,1,32.76,32.76,0.0,0.0,0.0,0.0,32.76,0.133,4.36,37.12,8.49,45.61,Apple Pay,Desktop,270,0,0,1
TXN0000028,2024-06-12 16:02:17,CUST01151,Barbara Harris,65,Japan,Gold,3054,Groceries,Frozen Food,1,82.99,82.99,0.1,0.0,0.1,8.3,74.69,0.059,4.41,79.1,0.0,79.1,Credit Card,Mobile,192,0,0,0
TXN0000029,2023-01-05 12:13:11,CUST00886,Carlos Thomas,46,United States,Silver,2574,Clothing,Sneakers,1,54.58,54.58,0.05,0.1,0.15,8.19,46.39,0.116,5.38,51.77,6.71,58.48,Bank Transfer,Desktop,232,0,0,0
TXN0000030,2024-04-12 19:31:40,CUST00488,Mary Singh,22,United States,Gold,2996,Groceries,Meat,3,77.96,233.88,0.1,0.0,0.1,23.39,210.49,0.13,27.36,237.85,0.0,237.85,PayPal,Desktop,205,0,0,0
TXN0000031,2024-05-23 00:38:32,CUST00383,Karen Williams,50,Australia,Silver,2408,Home & Garden,Plants,3,75.89,227.67,0.05,0.0,0.05,11.38,216.29,0.128,27.69,243.98,0.0,243.98,Credit Card,Desktop,159,0,0,0
TXN0000032,2024-03-13 08:08:40,CUST01356,Patricia Davis,65,Canada,Bronze,933,Groceries,Snacks,3,60.56,181.68,0.0,0.0,0.0,0.0,181.68,0.099,17.99,199.67,0.0,199.67,Google Pay,Mobile,47,0,0,0
TXN0000033,2023-05-01 10:42:31,CUST01135,Thomas Nguyen,24,Brazil,Silver,2475,Books,Textbook,1,37.55,37.55,0.05,0.0,0.05,1.88,35.67,0.084,3.0,38.67,6.77,45.44,Credit Card,Desktop,43,0,0,0
TXN0000034,2024-02-11 07:08:33,CUST00437,Fatima Johnson,29,Canada,Gold,178,Beauty,Makeup,1,136.44,136.44,0.1,0.0,0.1,13.64,122.8,0.063,7.74,130.54,0.0,130.54,Google Pay,Desktop,292,0,0,0
TXN0000035,2023-10-04 02:12:38,CUST00072,Karen Nguyen,45,United Kingdom,Bronze,3647,Clothing,T-Shirt,1,158.88,158.88,0.0,0.0,0.0,0.0,158.88,0.096,15.25,174.13,0.0,174.13,PayPal,Desktop,59,0,0,0
TXN0000036,2024-07-16 10:06:11,CUST01111,Ibrahim Allen,18,Australia,Silver,251,Toys,Educational,3,197.6,592.8,0.05,0.0,0.05,29.64,563.16,0.092,51.81,614.97,0.0,614.97,PayPal,Mobile,344,0,0,0
TXN0000037,2024-11-08 00:05:45,CUST00675,Mohammed Davis,26,United States,Bronze,2841,Sports,Sportswear,3,580.52,1741.56,0.0,0.0,0.0,0.0,1741.56,0.069,120.17,1861.73,0.0,1861.73,PayPal,Desktop,203,0,1,1
TXN0000038,2024-04-24 00:57:24,CUST00176,Sarah Thompson,59,Canada,Bronze,2427,Groceries,Organic,1,42.48,42.48,0.0,0.05,0.05,2.12,40.36,0.124,5.0,45.36,8.35,53.71,Credit Card,Desktop,345,0,0,1
TXN0000039,2024-01-09 16:40:28,CUST01445,Joseph Ahmed,22,United States,Bronze,101,Beauty,Nail Care,1,16.78,16.78,0.0,0.0,0.0,0.0,16.78,0.132,2.21,18.99,8.17,27.16,Credit Card,Mobile,321,0,0,1
TXN0000040,2024-06-29 17:22:40,CUST01288,Mohammed Gonzalez,25,United States,Silver,1980,Home & Garden,Cookware,1,244.22,244.22,0.05,0.0,0.05,12.21,232.01,0.052,12.06,244.07,0.0,244.07,Credit Card,Mobile,249,0,0,0
TXN0000041,2024-07-07 21:00:48,CUST00708,Jennifer Allen,38,Japan,Platinum,934,Toys,Outdoor,2,54.32,108.64,0.15,0.1,0.25,27.16,81.48,0.055,4.48,85.96,0.0,85.96,Credit Card,Desktop,297,0,0,0
TXN0000042,2024-01-14 23:08:35,CUST00894,Mohammed White,59,India,Bronze,2840,Sports,Running Shoes,1,300.18,300.18,0.0,0.0,0.0,0.0,300.18,0.111,33.32,333.5,0.0,333.5,PayPal,Desktop,32,0,0,0
TXN0000043,2024-05-16 21:39:53,CUST00793,Richard White,48,United States,Bronze,846,Beauty,Men Grooming,1,84.77,84.77,0.0,0.05,0.05,4.24,80.53,0.139,11.19,91.72,0.0,91.72,Credit Card,Desktop,148,0,1,0
TXN0000044,2024-07-09 12:16:43,CUST01090,Patricia Brown,64,United States,Bronze,821,Toys,Doll,1,112.33,112.33,0.0,0.0,0.0,0.0,112.33,0.118,13.25,125.58,0.0,125.58,Bank Transfer,Desktop,68,0,0,0
TXN0000045,2024-04-27 23:58:55,CUST01325,Sarah Moore,71,India,Platinum,97,Beauty,Vitamins,2,125.62,251.24,0.15,0.05,0.2,50.25,200.99,0.13,26.13,227.12,0.0,227.12,Apple Pay,Desktop,248,0,0,0
TXN0000046,2023-02-06 13:03:47,CUST00194,Sarah Singh,27,Canada,Silver,1391,Home & Garden,Bedding,1,486.56,486.56,0.05,0.0,0.05,24.33,462.23,0.149,68.87,531.1,0.0,531.1,Credit Card,Mobile,184,0,0,0
TXN0000047,2024-03-12 12:05:36,CUST01322,Aisha Nguyen,40,Canada,Gold,1823,Books,Textbook,3,18.09,54.27,0.1,0.0,0.1,5.43,48.84,0.131,6.4,55.24,6.02,61.26,Credit Card,Mobile,182,0,0,0
TXN0000048,2024-09-12 14:11:42,CUST01155,Mohammed Martin,26,United Kingdom,Silver,2946,Sports,Weights,3,514.23,1542.69,0.05,0.05,0.1,154.27,1388.42,0.06,83.31,1471.73,0.0,1471.73,Credit Card,Tablet,57,0,0,0
TXN0000049,2024-07-04 01:07:18,CUST01462,Susan Jackson,45,United States,Bronze,492,Clothing,T-Shirt,1,157.11,157.11,0.0,0.0,0.0,0.0,157.11,0.071,11.15,168.26,0.0,168.26,Debit Card,Desktop,51,0,0,0
TXN0000050,2024-10-10 10:02:56,CUST00232,Patricia Kim,32,Canada,Silver,2329,Books,Science,1,66.43,66.43,0.05,0.0,0.05,3.32,63.11,0.147,9.28,72.39,0.0,72.39,Apple Pay,Mobile,175,0,0,0
TXN0000051,2024-02-16 09:23:48,CUST00431,Linda Johnson,60,Brazil,Bronze,983,Groceries,Dairy,2,25.4,50.8,0.0,0.0,0.0,0.0,50.8,0.113,5.74,56.54,0.0,56.54,Credit Card,Desktop,212,0,0,1
TXN0000052,2023-09-20 18:26:12,CUST01378,Karen Young,68,United States,Silver,2571,Toys,Doll,1,236.21,236.21,0.05,0.1,0.15,35.43,200.78,0.122,24.5,225.28,0.0,225.28,Debit Card,Mobile,85,0,0,0
TXN0000053,2024-05-27 22:01:58,CUST00652,Richard Williams,74,Canada,Bronze,3490,Beauty,Skincare,2,100.38,200.76,0.0,0.15,0.15,30.11,170.65,0.056,9.56,180.21,0.0,180.21,PayPal,Desktop,349,0,0,1
TXN0000054,2023-12-13 13:34:00,CUST01052,William Jones,63,Canada,Bronze,399,Sports,Sportswear,1,546.89,546.89,0.0,0.0,0.0,0.0,546.89,0.103,56.33,603.22,0.0,603.22,Bank Transfer,Desktop,279,0,0,1
TXN0000055,2023-09-17 19:24:00,CUST00937,John Thompson,34,United States,Gold,2145,Toys,Doll,3,222.47,667.41,0.1,0.0,0.1,66.74,600.67,0.07,42.05,642.72,0.0,642.72,Credit Card,Mobile,267,0,0,0
TXN0000056,2024-09-10 17:40:33,CUST01488,Charles Martin,48,United Kingdom,Bronze,258,Sports,Bicycle,2,69.29,138.58,0.0,0.0,0.0,0.0,138.58,0.126,17.46,156.04,0.0,156.04,Credit Card,Mobile,133,0,0,0
TXN0000057,2023-02-07 01:48:18,CUST00363,Robert Kim,46,Japan,Bronze,3155,Sports,Camping,1,592.36,592.36,0.0,0.0,0.0,0.0,592.36,0.087,51.54,643.9,0.0,643.9,PayPal,Mobile,294,0,0,1
TXN0000058,2024-02-19 05:13:15,CUST01106,Priya Anderson,68,Canada,Silver,2854,Toys,Doll,3,245.81,737.43,0.05,0.2,0.25,184.36,553.07,0.107,59.18,612.25,0.0,612.25,Google Pay,Desktop,120,0,0,0
TXN0000059,2023-10-08 14:30:53,CUST00526,Aisha Wilson,68,Mexico,Silver,1487,Sports,Weights,1,432.89,432.89,0.05,0.0,0.05,21.64,411.25,0.083,34.13,445.38,0.0,445.38,Debit Card,Desktop,211,0,0,0
TXN0000060,2024-02-08 01:50:09,CUST00123,Mary Wilson,42,United States,Silver,1412,Electronics,Speaker,1,1336.1,1336.1,0.05,0.0,0.05,66.8,1269.3,0.087,110.43,1379.73,0.0,1379.73,Debit Card,Desktop,136,0,0,0
TXN0000061,2024-01-12 12:39:48,CUST00877,William Moore,34,United States,Silver,1074,Beauty,Sunscreen,4,104.59,418.36,0.05,0.05,0.1,41.84,376.52,0.092,34.64,411.16,0.0,411.16,Credit Card,Mobile,271,0,0,0
TXN0000062,2023-11-14 09:13:34,CUST00178,Jessica Anderson,38,Germany,Gold,1380,Home & Garden,Lighting,2,381.31,762.62,0.1,0.15,0.25,190.66,571.96,0.087,49.76,621.72,0.0,621.72,Bank Transfer,Desktop,190,0,0,0
TXN0000063,2024-08-31 18:57:04,CUST00858,David Nguyen,65,Japan,Silver,852,Electronics,Tablet,1,203.07,203.07,0.05,0.0,0.05,10.15,192.92,0.079,15.24,208.16,0.0,208.16,Credit Card,Mobile,146,0,0,0
TXN0000064,2024-08-29 21:24:27,CUST00324,Thomas Thompson,44,Japan,Gold,3311,Toys,Action Figure,1,34.96,34.96,0.1,0.15,0.25,8.74,26.22,0.092,2.41,28.63,7.43,36.06,Debit Card,Tablet,311,0,0,0
TXN0000065,2024-04-29 08:33:01,CUST00200,Patricia Singh,72,Canada,Silver,1901,Groceries,Organic,2,69.02,138.04,0.05,0.0,0.05,6.9,131.14,0.123,16.13,147.27,0.0,147.27,Credit Card,Desktop,277,0,0,0
TXN0000066,2024-03-11 18:37:29,CUST00069,William Thompson,49,United States,Gold,238,Toys,Puzzle,3,163.24,489.72,0.1,0.05,0.15,73.46,416.26,0.107,44.54,460.8,0.0,460.8,Apple Pay,Desktop,330,0,0,0
TXN0000067,2024-02-18 02:34:42,CUST00840,Aisha Taylor,74,United Kingdom,Bronze,2780,Home & Garden,Furniture,1,766.04,766.04,0.0,0.1,0.1,76.6,689.44,0.1,68.94,758.38,0.0,758.38,Credit Card,Desktop,126,0,0,0
TXN0000068,2023-12-06 10:35:42,CUST01245,Jessica Lee,45,United Kingdom,Bronze,2873,Toys,Board Game,2,202.69,405.38,0.0,0.0,0.0,0.0,405.38,0.054,21.89,427.27,0.0,427.27,Google Pay,Mobile,13,0,0,0
TXN0000069,2023-08-27 07:03:31,CUST01290,Richard Kim,63,United States,Bronze,2202,Books,History,1,24.28,24.28,0.0,0.0,0.0,0.0,24.28,0.067,1.63,25.91,4.85,30.76,Credit Card,Mobile,167,0,0,0
TXN0000070,2023-04-04 22:58:28,CUST00273,Priya Patel,19,United States,Silver,1570,Electronics,Smart Watch,1,603.2,603.2,0.05,0.0,0.05,30.16,573.04,0.082,46.99,620.03,0.0,620.03,Debit Card,Desktop,123,0,1,0
TXN0000071,2023-02-20 20:13:46,CUST01129,Sarah Allen,64,Mexico,Silver,2767,Home & Garden,Lighting,1,409.34,409.34,0.05,0.15,0.2,81.87,327.47,0.077,25.22,352.69,0.0,352.69,Credit Card,Desktop,10,0,0,0
TXN0000072,2024-01-24 16:44:08,CUST00404,Carlos Allen,25,United States,Bronze,1558,Clothing,Dress,2,231.25,462.5,0.0,0.0,0.0,0.0,462.5,0.107,49.49,511.99,0.0,511.99,Debit Card,Desktop,73,0,0,0
TXN0000073,2023-08-13 16:00:02,CUST00560,Barbara White,23,United States,Platinum,610,Groceries,Meat,1,49.29,49.29,0.15,0.15,0.3,14.79,34.5,0.095,3.28,37.78,4.0,41.78,Debit Card,Desktop,247,0,0,0
TXN0000074,2024-02-19 20:08:45,CUST00410,Yuki Thompson,52,Canada,Silver,1975,Sports,Camping,3,599.55,1798.65,0.05,0.0,0.05,89.93,1708.72,0.134,228.97,1937.69,0.0,1937.69,Credit Card,Mobile,154,0,0,0
TXN0000075,2024-11-17 13:40:46,CUST00135,Karen White,60,United States,Silver,1427,Clothing,Jacket,5,220.26,1101.3,0.05,0.15,0.2,220.26,881.04,0.071,62.55,943.59,0.0,943.59,Debit Card,Desktop,363,0,0,0
TXN0000076,2023-01-02 14:10:06,CUST00680,Priya Jackson,49,United States,Silver,737,Home & Garden,Decor,1,276.59,276.59,0.05,0.0,0.05,13.83,262.76,0.052,13.66,276.42,0.0,276.42,PayPal,Desktop,3,0,0,0
TXN0000077,2024-05-20 20:29:13,CUST01353,Jennifer Lee,19,Canada,Bronze,993,Groceries,Frozen Food,2,50.9,101.8,0.0,0.0,0.0,0.0,101.8,0.089,9.06,110.86,0.0,110.86,Credit Card,Desktop,344,0,0,1
TXN0000078,2023-01-07 13:10:20,CUST00668,Susan Chen,31,Canada,Silver,3521,Clothing,Sneakers,1,291.88,291.88,0.05,0.05,0.1,29.19,262.69,0.089,23.38,286.07,0.0,286.07,Apple Pay,Desktop,190,0,0,0
TXN0000079,2024-04-21 11:24:03,CUST01405,Karen Garcia,52,United States,Platinum,1687,Toys,Action Figure,1,59.26,59.26,0.15,0.0,0.15,8.89,50.37,0.142,7.15,57.52,0.0,57.52,Debit Card,Mobile,253,0,0,0
TXN0000080,2023-03-28 04:11:35,CUST01451,Mohammed Martin,66,Canada,Bronze,164,Electronics,Smart Watch,2,754.46,1508.92,0.0,0.05,0.05,75.45,1433.47,0.051,73.11,1506.58,0.0,1506.58,Gift Card,Desktop,292,0,0,1
TXN0000081,2023-02-20 12:36:26,CUST00751,Linda Jones,37,Mexico,Bronze,3412,Groceries,Meat,2,60.06,120.12,0.0,0.05,0.05,6.01,114.11,0.107,12.21,126.32,0.0,126.32,Credit Card,Mobile,268,0,0,1
TXN0000082,2024-11-16 22:12:47,CUST01094,Jennifer Lee,29,United Kingdom,Silver,2723,Sports,Bicycle,1,510.88,510.88,0.05,0.2,0.25,127.72,383.16,0.118,45.21,428.37,0.0,428.37,PayPal,Desktop,219,0,0,0
TXN0000083,2024-08-12 13:11:25,CUST00962,Jessica Wilson,30,United States,Silver,59,Electronics,Camera,5,665.84,3329.2,0.05,0.0,0.05,166.46,3162.74,0.118,373.2,3535.94,0.0,3535.94,Debit Card,Mobile,216,1,1,0
TXN0000084,2023-02-27 19:40:08,CUST00799,Robert Anderson,75,Canada,Gold,705,Books,Fiction,1,34.38,34.38,0.1,0.15,0.25,8.6,25.78,0.131,3.38,29.16,9.93,39.09,Credit Card,Desktop,101,0,0,0
TXN0000085,2023-09-17 15:51:03,CUST00247,Karen Wilson,69,United States,Silver,135,Sports,Yoga Mat,1,381.2,381.2,0.05,0.0,0.05,19.06,362.14,0.131,47.44,409.58,0.0,409.58,Debit Card,Desktop,175,0,0,0
TXN0000086,2023-03-08 10:28:56,CUST01249,John Allen,24,Germany,Silver,3388,Books,Children,3,75.76,227.28,0.05,0.05,0.1,22.73,204.55,0.126,25.77,230.32,0.0,230.32,PayPal,Desktop,18,0,0,0
TXN0000087,2023-02-13 08:00:00,CUST00567,Carlos White,43,United States,Silver,838,Clothing,Jacket,3,27.97,83.91,0.05,0.0,0.05,4.2,79.71,0.111,8.85,88.56,0.0,88.56,Debit Card,Mobile,50,0,0,0
TXN0000088,2024-04-26 17:33:55,CUST00926,Linda Kumar,67,United Kingdom,Gold,578,Beauty,Fragrance,3,130.22,390.66,0.1,0.05,0.15,58.6,332.06,0.095,31.55,363.61,0.0,363.61,Debit Card,Mobile,174,0,0,0
TXN0000089,2024-10-15 01:15:54,CUST00977,Yuki Garcia,58,Canada,Bronze,3513,Electronics,TV,2,790.29,1580.58,0.0,0.0,0.0,0.0,1580.58,0.051,80.61,1661.19,0.0,1661.19,PayPal,Desktop,132,0,0,0
TXN0000090,2024-05-21 04:39:40,CUST00534,Ibrahim Jackson,18,United States,Bronze,376,Toys,Video Game,1,50.54,50.54,0.0,0.0,0.0,0.0,50.54,0.063,3.18,53.72,0.0,53.72,Debit Card,Mobile,160,0,0,0
TXN0000091,2023-04-23 07:32:47,CUST00876,Jennifer Garcia,65,United Kingdom,Bronze,1785,Groceries,Bakery,2,43.31,86.62,0.0,0.0,0.0,0.0,86.62,0.147,12.73,99.35,0.0,99.35,Debit Card,Desktop,28,0,0,0
TXN0000092,2023-12-30 01:00:43,CUST00634,Thomas Ahmed,31,Mexico,Bronze,1368,Home & Garden,Cleaning Supplies,1,514.23,514.23,0.0,0.0,0.0,0.0,514.23,0.069,35.48,549.71,0.0,549.71,Debit Card,Desktop,170,0,0,0
TXN0000093,2023-06-23 05:29:20,CUST01279,Sofia Rodriguez,57,United States,Silver,549,Books,Biography,1,36.39,36.39,0.05,0.0,0.05,1.82,34.57,0.129,4.46,39.03,4.24,43.27,Credit Card,Mobile,247,0,0,0
TXN0000094,2023-08-14 16:43:59,CUST01102,Yuki Wilson,53,United Kingdom,Silver,2371,Books,History,1,20.39,20.39,0.05,0.2,0.25,5.1,15.29,0.086,1.31,16.6,4.43,21.03,Credit Card,Mobile,324,0,0,0
TXN0000095,2024-10-20 07:10:56,CUST00879,Fatima Anderson,56,United States,Platinum,2551,Books,Fiction,1,78.14,78.14,0.15,0.0,0.15,11.72,66.42,0.072,4.78,71.2,0.0,71.2,Credit Card,Mobile,135,0,1,0
TXN0000096,2024-09-20 17:56:44,CUST01366,Priya Singh,33,United States,Bronze,940,Electronics,Tablet,3,587.01,1761.03,0.0,0.0,0.0,0.0,1761.03,0.144,253.59,2014.62,0.0,2014.62,Credit Card,Mobile,88,0,0,0
TXN0000097,2023-09-04 23:02:51,CUST01412,Linda Harris,40,United States,Bronze,2656,Beauty,Makeup,3,21.29,63.87,0.0,0.0,0.0,0.0,63.87,0.069,4.41,68.28,0.0,68.28,Debit Card,Desktop,24,0,0,0
TXN0000098,2024-03-29 16:04:54,CUST01145,Robert Miller,59,United States,Silver,3307,Home & Garden,Tools,1,632.71,632.71,0.05,0.0,0.05,31.64,601.07,0.13,78.14,679.21,0.0,679.21,Google Pay,Desktop,108,0,0,0
TXN0000099,2024-07-07 09:43:04,CUST01091,Thomas Kim,33,United Kingdom,Platinum,2317,Toys,Board Game,1,46.01,46.01,0.15,0.15,0.3,13.8,32.21,0.125,4.03,36.24,6.24,42.48,Debit Card,Mobile,254,0,0,0
TXN0000100,2023-10-20 21:20:09,CUST00711,Yuki Nguyen,60,Australia,Gold,1859,Beauty,Skincare,4,34.24,136.96,0.1,0.0,0.1,13.7,123.26,0.073,9.0,132.26,0.0,132.26,Credit Card,Mobile,192,0,0,0
TXN0000101,2023-09-19 06:27:55,CUST00382,Michael Patel,53,United States,Silver,2546,Clothing,Jacket,1,227.96,227.96,0.05,0.0,0.05,11.4,216.56,0.073,15.81,232.37,0.0,232.37,Credit Card,Mobile,255,0,0,0
TXN0000102,2024-05-14 22:35:15,CUST00476,Mohammed Johnson,26,United Kingdom,Bronze,3371,Beauty,Skincare,1,30.21,30.21,0.0,0.05,0.05,1.51,28.7,0.086,2.47,31.17,4.48,35.65,Apple Pay,Mobile,142,0,0,0
TXN0000103,2024-06-14 22:05:47,CUST01390,Richard Kumar,29,United States,Platinum,477,Clothing,Jeans,1,30.68,30.68,0.15,0.0,0.15,4.6,26.08,0.07,1.83,27.91,5.97,33.88,Credit Card,Desktop,71,0,0,0
TXN0000104,2024-08-11 14:31:44,CUST01498,Richard Young,42,United States,Bronze,2030,Sports,Running Shoes,1,465.48,465.48,0.0,0.0,0.0,0.0,465.48,0.15,69.82,535.3,0.0,535.3,Bank Transfer,Desktop,242,0,0,1
TXN0000105,2024-09-24 13:28:25,CUST00982,Michael Thompson,18,Germany,Bronze,399,Groceries,Frozen Food,2,22.02,44.04,0.0,0.0,0.0,0.0,44.04,0.073,3.21,47.25,7.51,54.76,Debit Card,Mobile,97,0,0,0
TXN0000106,2024-07-27 01:40:59,CUST00644,Joseph Thompson,41,United States,Gold,713,Beauty,Fragrance,3,68.04,204.12,0.1,0.0,0.1,20.41,183.71,0.064,11.76,195.47,0.0,195.47,Google Pay,Mobile,338,0,1,0
